NO,Frag,Conect,MolWt
602,[8*]C(CC)C(=O)O,1,87.045
603,[8*]CC(=O)OCC,1,87.045
604,[8*]CCC(=O)OC,1,87.045
605,[8*]CCCC(=O)O,1,87.045
606,[5*]N(C)CC(N)=O,1,87.056
607,[5*]NC(=N)[C@@H](C)O,1,87.056
608,[5*]NC(=O)C(C)N,1,87.056
609,[5*]NC(=O)CCN,1,87.056
610,[5*]NC(=O)N(C)C,1,87.056
611,[5*]NC(=O)NCC,1,87.056
612,[5*]NC(=O)[C@H](C)N,1,87.056
613,[5*]N[C@@H](C)C(N)=O,1,87.056
614,[8*]CCNC(N)=O,1,87.056
615,[3*]OC(CC)CC,1,87.081
616,[3*]OCCC(C)C,1,87.081
617,[4*]CCOC(C)C,1,87.081
618,[8*]CCC(C)(C)O,1,87.081
619,[8*]CCCCOC,1,87.081
620,[8*]CCOCCC,1,87.081
621,[8*]COC(C)(C)C,1,87.081
622,[8*][C@@H](CC)[C@H](C)O,1,87.081
623,[8*][C@H](CO)C(C)C,1,87.081
624,[4*]CCNCCN,1,87.092
625,[5*]NCC(C)(C)N,1,87.092
626,[5*]NCCN(C)C,1,87.092
627,[4*]CC[N+](C)(C)C,1,87.104
628,[5*][N+](C)(CC)CC,1,87.104
629,[8*]C[N+](C)(C)CC,1,87.104
630,[5*]NC(=O)C(=O)O,1,88.003
631,[5*]N1CCSC1,1,88.022
632,[1*]C(=O)[C@@H](N)CO,1,88.04
633,[3*]OC(=O)CNC,1,88.04
634,[3*]OC(=O)N(C)C,1,88.04
635,[3*]OC(=O)[C@H](C)N,1,88.04
636,[3*]OCC(=O)NC,1,88.04
637,[4*]CCOC(N)=O,1,88.04
638,[4*]C[C@H](N)C(=O)O,1,88.04
639,[5*]N(C)C(=O)CO,1,88.04
640,[5*]N(C)C(=O)OC,1,88.04
641,[5*]N(C)CC(=O)O,1,88.04
642,[5*]NC(=O)COC,1,88.04
643,[5*]NC(=O)OCC,1,88.04
644,[5*]NC(=O)[C@H](C)O,1,88.04
645,[5*]NCCC(=O)O,1,88.04
646,[5*]N[C@@H](C)C(=O)O,1,88.04
647,[6*]C(=O)NCCO,1,88.04
648,[8*]CCC(=O)NO,1,88.04
