NO,SMILES,Flatten SMILES,IC50 (nM),pIC50,target (10 nM),trtecv (10 nM),target (31.6 nM),trtecv (31.6 nM),target (100 nM),trtecv (100 nM)
250,Cc1cccc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,Cc1cccc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,43,7.367,0,train2,0,train2,1,train2
251,Cc1cccc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cccc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,8,8.097,1,train5,1,train1,1,train5
252,Cc1ccnc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1ccnc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,176,6.754,0,train1,0,test,0,train4
253,Cc1cc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)ccn1,Cc1cc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)ccn1,1390,5.857,0,train2,0,train2,0,test
254,Cc1cncc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cncc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,1120,5.951,0,train3,0,train5,0,train3
255,Cc1ccc(-n2ccnc2[C@@H]2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)cn1,Cc1ccc(-n2ccnc2C2CCCN2c2nc(C)cc(C(F)(F)F)c2C#N)cn1,1811,5.742,0,train1,0,train1,0,train3
256,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccc2C#N)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccc2C#N)n1,1556,5.808,0,train5,0,test,0,train5
257,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccc(C#N)cc2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccc(C#N)cc2)n1,2390,5.622,0,train2,0,train3,0,train1
258,COc1c(F)cccc1-n1ccnc1[C@@H]1CCCN1c1nc(C)cc(C(F)(F)F)c1C#N,COc1c(F)cccc1-n1ccnc1C1CCCN1c1nc(C)cc(C(F)(F)F)c1C#N,111,6.955,0,train4,0,train1,0,test
259,COc1ccccc1-n1ccnc1[C@@H]1CCCN1c1nc(C)cc(C(F)(F)F)c1C#N,COc1ccccc1-n1ccnc1C1CCCN1c1nc(C)cc(C(F)(F)F)c1C#N,216,6.666,0,train5,0,test,0,test
260,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccc2CO)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccc2CO)n1,709,6.149,0,train1,0,train1,0,train5
261,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccc2C(N)=O)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccc2C(N)=O)n1,64,7.194,0,test,0,train1,1,test
262,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccc2CN)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccc2CN)n1,1247,5.904,0,test,0,train4,0,train1
263,Cc1cc(C(F)(F)F)c(C#N)c(N2CCC[C@H]2c2nccn2-c2ccccc2CN(C)C)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CCCC2c2nccn2-c2ccccc2CN(C)C)n1,3114,5.507,0,train3,0,test,0,train5
264,Cc1cc(C)nc(-n2ccnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,Cc1cc(C)nc(-n2ccnc2C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)c1,3073,5.512,0,train2,0,test,0,train2
265,Cc1cccc(-n2ccnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,Cc1cccc(-n2ccnc2C2CC(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,865.5,6.063,0,train4,0,train4,0,train1
266,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2ccc(F)cn2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nccn2-c2ccc(F)cn2)n1,19,7.721,0,train1,1,train1,1,test
267,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2ccn(C)n2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nccn2-c2ccn(C)n2)n1,459,6.338,0,train4,0,train4,0,train5
268,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2nc(C)ccc2F)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nccn2-c2nc(C)ccc2F)n1,71,7.149,0,test,0,train5,1,test
269,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2ccc(F)c(C)n2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nccn2-c2ccc(F)c(C)n2)n1,95,7.022,0,train3,0,train3,1,train4
270,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2ccc(F)c(C(F)(F)F)n2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nccn2-c2ccc(F)c(C(F)(F)F)n2)n1,92,7.036,0,train2,0,train4,1,train2
271,Cc1cc(C)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nccn2-c2ccc(Cl)cn2)n1,Cc1cc(C)c(C#N)c(N2CC(O)CC2c2nccn2-c2ccc(Cl)cn2)n1,1183,5.927,0,train5,0,train4,0,train5
272,Cc1cccc(-n2ccnc2[C@@H]2C[C@H](O)CN2c2nc(C)cc(C)c2C#N)n1,Cc1cccc(-n2ccnc2C2CC(O)CN2c2nc(C)cc(C)c2C#N)n1,3221,5.492,0,train3,0,test,0,train2
273,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@@H](O)C[C@H]2c2nc(C)cn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)CC2c2nc(C)cn2-c2ccc(F)c(Cl)c2)n1,362,6.441,0,train1,0,train5,0,train3
274,Cc1cccc(-n2ccnc2[C@@H]2[C@@H](O)[C@@H](O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,Cc1cccc(-n2ccnc2C2C(O)C(O)CN2c2nc(C)cc(C(F)(F)F)c2C#N)n1,81,7.092,0,train5,0,train1,1,train5
275,Cc1cc(C(F)(F)F)c(C#N)c(N2C[C@H](O)[C@H](O)[C@H]2c2nccn2-c2ccc(F)c(C)c2)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2CC(O)C(O)C2c2nccn2-c2ccc(F)c(C)c2)n1,641,6.193,0,train1,0,train3,0,train5
276,Cc1cc(C(F)(F)F)c(C#N)c(N2[C@H](c3nccn3-c3ccc(F)c(C)n3)C[C@H]3C[C@H]32)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2C(c3nccn3-c3ccc(F)c(C)n3)CC3CC32)n1,27,7.569,0,test,1,train4,1,test
277,Cc1cc(C(F)(F)F)c(C#N)c(N2[C@H](c3nccn3-c3ccc(F)c(Cl)c3)C[C@@]3(CO)C[C@@H]23)n1,Cc1cc(C(F)(F)F)c(C#N)c(N2C(c3nccn3-c3ccc(F)c(Cl)c3)CC3(CO)CC23)n1,54,7.268,0,test,0,train3,1,train1
278,CC(=O)N[C@H]1C[C@@H](c2nccn2-c2ccc(F)c(C)n2)N(c2nc(C)cc(C(F)(F)F)c2C#N)C1,CC(=O)NC1CC(c2nccn2-c2ccc(F)c(C)n2)N(c2nc(C)cc(C(F)(F)F)c2C#N)C1,3,8.523,1,test,1,train3,1,train2
279,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2c2nccn2-c2ccc(F)c(Cl)c2)n1,158,6.801,0,train5,0,train5,0,train2
280,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2c2nc(F)cn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2c2nc(F)cn2-c2ccc(F)c(Cl)c2)n1,10,8,0,train3,1,train5,1,train4
281,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2c2nc(Cl)cn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2c2nc(Cl)cn2-c2ccc(F)c(Cl)c2)n1,5,8.301,1,train2,1,train5,1,train4
282,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2c2ncc(C)n2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2c2ncc(C)n2-c2ccc(F)c(Cl)c2)n1,8,8.097,1,train3,1,train3,1,train4
283,Cc1cc(C(F)(F)F)cc(N2C(=O)OC[C@H]2c2nccn2-c2ccc(F)c(Cl)c2F)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OCC2c2nccn2-c2ccc(F)c(Cl)c2F)n1,15,7.824,0,test,1,train2,1,test
284,Cc1cc(C(F)(F)F)cc(N2C(=O)O[C@H](CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)OC(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,6,8.222,1,train2,1,test,1,train4
285,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@H](C)[C@@](C)(O)[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(C)C(C)(O)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,7,8.155,1,train5,1,train5,1,train3
286,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@H](C)[C@@](C)(O)[C@H]2c2nccn2-c2ccc3cc[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(C)C(C)(O)C2c2nccn2-c2ccc3cc[nH]c3n2)n1,32,7.495,0,train3,0,test,1,train3
287,Cc1cc(C(F)(F)F)cc(N2C(=O)C[C@](O)(CO)[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)CC(O)(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,316,6.5,0,train3,0,train1,0,train1
288,Cc1cc(C(F)(F)F)cc(N2C(=O)[C@H](C)[C@](O)(CO)[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C(C)C(O)(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,23,7.638,0,test,1,train4,1,test
289,Cc1cc(C(F)(F)F)cc(N2C(=O)C3(CC3)[C@](O)(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)C3(CC3)C(O)(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,43,7.367,0,train4,0,train4,1,train4
290,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2c2nccn2-c2ccc(F)c(Cl)c2)n1,33,7.481,0,train2,0,train2,1,test
291,Cc1cc(C(F)(F)F)cc(N2C(=O)N[C@H](CO)[C@H]2c2nccn2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NC(CO)C2c2nccn2-c2ccc(F)c(Cl)c2)n1,4,8.398,1,train3,1,train5,1,train5
292,Cc1cc(C(F)(F)F)cc(N2C(=O)N[C@H](CO)[C@H]2c2ncc(Cl)n2-c2ccc(F)c(Cl)c2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NC(CO)C2c2ncc(Cl)n2-c2ccc(F)c(Cl)c2)n1,3,8.523,1,train1,1,test,1,train1
293,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2c2nccn2-c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2c2nccn2-c2ccc3ccn(C)c3n2)n1,45,7.347,0,train3,0,train4,1,train3
294,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2c2nc(F)cn2-c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2c2nc(F)cn2-c2ccc3ccn(C)c3n2)n1,9,8.046,1,train5,1,train2,1,train4
295,Cc1cc(C(F)(F)F)cc(N2C(=O)N(C[C@H](O)CN(C)C)C[C@H]2c2nccn2-c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN(C)C)CC2c2nccn2-c2ccc3ccn(C)c3n2)n1,3,8.523,1,train2,1,train5,1,test
296,Cc1cc(C(F)(F)F)cc(N2C(=O)N(C[C@H](O)CN(C)C)C[C@H]2c2nc(F)cn2-c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CC(O)CN(C)C)CC2c2nc(F)cn2-c2ccc3ccn(C)c3n2)n1,4,8.398,1,train3,1,train2,1,train1
297,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)C[C@H]2c2nccn2-c2ccc3ccn(C)c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)N(CCS(C)(=N)=O)CC2c2nccn2-c2ccc3ccn(C)c3n2)n1,3,8.523,1,train4,1,train4,1,train3
298,Cc1cc(C(F)(F)F)cc(N2C(=O)NC[C@H]2c2nccn2-c2ccc3cc[nH]c3n2)n1,Cc1cc(C(F)(F)F)cc(N2C(=O)NCC2c2nccn2-c2ccc3cc[nH]c3n2)n1,18,7.745,0,train1,1,train3,1,train4
